                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                  1.115,                 1.1434,                 1.4248,                0.87657,                0.81938,                0.87904,                 0.6774,                 0.9073,                0.72185,                 1.2384,               0.002377,               0.002377,               0.002377
                     80,                 1.1083,                 1.1418,                  1.427,                0.86747,                0.81676,                0.87927,                0.67738,                0.90408,                0.71961,                 1.2353,               0.002278,               0.002278,               0.002278
                     81,                  1.114,                 1.1489,                 1.4274,                0.86509,                0.82337,                 0.8802,                0.67828,                0.90227,                0.71584,                  1.234,               0.002179,               0.002179,               0.002179
                     82,                 1.1069,                 1.1285,                 1.4265,                0.86774,                0.82042,                0.88011,                0.67881,                0.90337,                0.71244,                 1.2347,                0.00208,                0.00208,                0.00208
                     83,                 1.0939,                  1.128,                 1.4172,                0.87794,                0.81266,                0.88006,                0.67799,                0.90559,                0.71053,                 1.2359,               0.001981,               0.001981,               0.001981
                     84,                 1.0993,                 1.1195,                 1.4197,                0.86949,                0.82011,                0.88015,                0.67792,                 0.9034,                0.70743,                 1.2351,               0.001882,               0.001882,               0.001882
                     85,                 1.0894,                   1.12,                 1.4154,                 0.8762,                0.81882,                0.88084,                0.67778,                0.90264,                0.70611,                 1.2356,               0.001783,               0.001783,               0.001783
                     86,                  1.099,                 1.1176,                 1.4149,                0.87367,                0.81982,                0.88032,                0.67736,                0.90213,                0.70675,                  1.234,               0.001684,               0.001684,               0.001684
                     87,                 1.0915,                 1.1166,                 1.4091,                 0.8736,                0.82117,                0.88099,                0.67781,                 0.9021,                0.70472,                  1.234,               0.001585,               0.001585,               0.001585
                     88,                 1.0926,                  1.107,                 1.4079,                0.87453,                 0.8221,                0.88109,                0.67745,                0.90262,                0.70475,                 1.2333,               0.001486,               0.001486,               0.001486
                     89,                 1.0864,                 1.0918,                 1.4071,                0.87566,                0.81993,                0.88211,                0.67757,                0.90317,                0.70257,                 1.2335,               0.001387,               0.001387,               0.001387
                     90,                 1.0902,                 1.0961,                 1.4086,                0.87587,                 0.8189,                 0.8826,                0.67832,                0.90343,                0.70282,                 1.2341,               0.001288,               0.001288,               0.001288
                     91,                  0.851,                0.68051,                 1.2099,                0.86321,                0.82668,                0.88337,                0.67867,                0.90247,                0.70279,                 1.2338,               0.001189,               0.001189,               0.001189
                     92,                0.83397,                0.63704,                 1.1989,                0.86533,                0.82593,                0.88308,                0.68031,                0.90039,                0.70009,                 1.2323,                0.00109,                0.00109,                0.00109
                     93,                0.82445,                0.61909,                 1.1868,                0.88011,                0.81529,                 0.8823,                0.68071,                0.89917,                0.69773,                 1.2314,               0.000991,               0.000991,               0.000991
                     94,                0.81169,                0.60467,                 1.1847,                0.87561,                0.81866,                0.88274,                 0.6809,                0.89751,                0.69428,                   1.23,               0.000892,               0.000892,               0.000892
                     95,                0.81082,                0.59993,                 1.1831,                0.87487,                0.81946,                0.88307,                0.68115,                0.89644,                0.69165,                 1.2293,               0.000793,               0.000793,               0.000793
                     96,                0.80262,                0.59003,                 1.1764,                0.86725,                0.82256,                0.88328,                 0.6828,                0.89595,                 0.6899,                 1.2285,               0.000694,               0.000694,               0.000694
                     97,                0.79635,                0.58347,                 1.1698,                0.86804,                0.82332,                0.88358,                0.68366,                0.89503,                0.68714,                 1.2275,               0.000595,               0.000595,               0.000595
                     98,                0.79605,                0.58107,                 1.1701,                 0.8679,                 0.8238,                0.88384,                 0.6844,                0.89474,                0.68609,                 1.2274,               0.000496,               0.000496,               0.000496
                     99,                0.79044,                0.57477,                 1.1653,                 0.8669,                0.82494,                0.88391,                0.68428,                0.89393,                0.68598,                 1.2266,               0.000397,               0.000397,               0.000397
                    100,                0.78575,                0.56897,                 1.1634,                0.86695,                0.82456,                 0.8839,                0.68489,                0.89328,                0.68477,                 1.2264,               0.000298,               0.000298,               0.000298
